#C_Ł_$	*	zmysł, přinjesł, wotrostł, móhł ("ł" na kóncu po konsonanće so šmórny)
#C_W_J	*	zwjetša, wobsydstwje, wuměłstwje ("w" po konsonanće před "j" so šmórne)
#V_W_#C	u	přestawce, Žitawčanow, najnowšim, stawje, nawróća, zjawnje ("w" před konsonantom změni so na "u") - ale: předewšěm
#C_W_#C	u	dito
$_W_J	*	wjacorych ("wj" na započatku słowa so "w" šmórny) - ale: wjele, wječorach
$_W_#C	*	wšak, wsy ("w" na započatku słowa před konsonantom so šmórny) - ale: "we wsy" 
O_W_$	*	Błótow, etapow, wosadow, rjadow ("w" na kóncu słowa po "o" so šmórny)
A_W_$	u	staw ("w" na kóncu słowa po "a" so změni na "u")
#C_W_$	*	čerw ("w" na kóncu słowa po konsonanće so šmórny)
O_Ł_$	*	poł, sokoł, šoł ("ł" na kóncu słowa po "o" so šmórny)
A_Ł_$	u	widźał, jednał, Michał ("ł" na kóncu słowa po "a" so změni na "u")
I_Ł_$	u	rozsudźił, stworił, přełožił ("ł" na kóncu słowa po "i" so změni na "u")
$_P_T	*	ptačim (p na započatku słowa před t so šmórny)
